Body,mass,x,y,vx,vy
2,40.000000,4.925000,13.700000,0.500000,2.000000
3,30.000000,12.945000,15.285000,1.700000,2.100000
4,34.000000,4.585000,9.265000,0.100000,0.900000
1,10.000000,5.900000,1.770000,1.000000,0.300000
2,40.000000,4.950000,13.800000,0.500000,2.000000
3,30.000000,13.030000,15.390000,1.700000,2.100000
4,34.000000,4.590000,9.310000,0.100000,0.900000
1,10.000000,5.950000,1.785000,1.000000,0.300000
2,40.000000,4.975000,13.900000,0.500000,2.000000
3,30.000000,13.115000,15.495000,1.700000,2.100000
4,34.000000,4.595000,9.355000,0.100000,0.900000
1,10.000000,6.000000,1.800000,1.000000,0.300000
2,40.000000,5.000000,14.000000,0.500000,2.000000
3,30.000000,13.200000,15.600000,1.700000,2.100000
4,34.000000,4.600000,9.400000,0.100000,0.900000
1,10.000000,6.050000,1.815000,1.000000,0.300000
2,40.000000,5.025000,14.100000,0.500000,2.000000
3,30.000000,13.285000,15.705000,1.700000,2.100000
4,34.000000,4.605000,9.445000,0.100000,0.900000
1,10.000000,6.100000,1.830000,1.000000,0.300000
2,40.000000,5.050000,14.200000,0.500000,2.000000
3,30.000000,13.370000,15.810000,1.700000,2.100000
4,34.000000,4.610000,9.490000,0.100000,0.900000
1,10.000000,6.150000,1.845000,1.000000,0.300000
2,40.000000,5.075000,14.300000,0.500000,2.000000
3,30.000000,13.455000,15.915000,1.700000,2.100000
4,34.000000,4.615000,9.535000,0.100000,0.900000
1,10.000000,6.200000,1.860000,1.000000,0.300000
2,40.000000,5.100000,14.400000,0.500000,2.000000
3,30.000000,13.540000,16.020000,1.700000,2.100000
4,34.000000,4.620000,9.580000,0.100000,0.900000
1,10.000000,6.250000,1.875000,1.000000,0.300000
2,40.000000,5.125000,14.500000,0.500000,2.000000
3,30.000000,13.625000,16.125000,1.700000,2.100000
4,34.000000,4.625000,9.625000,0.100000,0.900000
1,10.000000,6.300000,1.890000,1.000000,0.300000
2,40.000000,5.150000,14.600000,0.500000,2.000000
3,30.000000,13.710000,16.230000,1.700000,2.100000
4,34.000000,4.630000,9.670000,0.100000,0.900000
1,10.000000,6.350000,1.905000,1.000000,0.300000
2,40.000000,5.175000,14.700000,0.500000,2.000000
3,30.000000,13.795000,16.335000,1.700000,2.100000
4,34.000000,4.635000,9.715000,0.100000,0.900000
1,10.000000,6.400000,1.920000,1.000000,0.300000
2,40.000000,5.200000,14.800000,0.500000,2.000000
3,30.000000,13.880000,16.440000,1.700000,2.100000
4,34.000000,4.640000,9.760000,0.100000,0.900000
1,10.000000,6.450000,1.935000,1.000000,0.300000
2,40.000000,5.225000,14.900000,0.500000,2.000000
3,30.000000,13.965000,16.545000,1.700000,2.100000
